date,year,time,site,block,site_type,wetland_id,temp,water,wind,species,method,25m,50m,total,breeding codes
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,BGGN,a,2,,2,
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,COYE,a,2,1,3,
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,EATO,a,,3,3,
5/30/2022,2022,8:22,halidon,1,wetland,HH34,79.3,0,0.8,YBCH,a,,1,1,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,COYE,a,1,2,3,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,EATO,a,,1,1,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,BLJA,v,,4,4,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,EWPE,a,1,,1,
5/30/2022,2022,8:33,halidon,1,upland,UP01,79,0,0.7,MODO,v,,1,1,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,SUTA,v,3,,3,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,BGGN,a,2,,2,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,EATO,a,2,,2,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,INBU,a,,1,1,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,TUTI,a,,1,1,
5/30/2022,2022,7:39,halidon,1,wetland,HH13,76,0,1.2,YBCH,a,1,,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,PIWA,a,,2,2,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,COYE,a,,2,2,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,NOCA,a,1,,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,CARW,a,,1,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,EAWP,a,,1,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,BGGN,a,2,,2,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,RBWO,a,,1,1,
5/30/2022,2022,8:04,halidon,,wetland,HH34r,76.9,0,1.4,CACH,a,2,,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,BGGN,a,1,,1,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,COYE,a,,1,1,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,BASP,a,,2,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,PIWA,a,,2,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,EAWP,a,,1,1,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,RHWO,v,,2,2,
5/30/2022,2022,7:00,halidon,2,upland,UP02,70,0,0,BHCO,a,1,,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,BGGN,a,1,,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,NOMO,a,,1,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,TUTI,a,,1,1,
5/30/2022,2022,7:13,halidon,2,wetland,HH14,71.5,0,0,NOCA,a,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,NOMO,a,,1,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,OROR,v,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,COYE,a,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,PIWA,v,1,,1,
5/26/2022,2022,9:07,halidon,,wetland,HH01,83,0,0.6,EAKI,v,,1,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,COYE,a,,1,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,BASP,a,,1,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,BGGN,a,2,,2,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,TUTI,a,,1,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,RBWO,a,1,,1,
5/26/2022,2022,7:08,halidon,2,wetland,HH22,72,0,0,INBU,a,,1,1,
5/26/2022,2022,7:30,halidon,2,wetland,HH17,71,0,0.6,COYE,a,1,2,3,
5/26/2022,2022,7:30,halidon,2,wetland,HH17,71,0,0.6,BLGR,a,1,,1,
5/26/2022,2022,7:30,halidon,2,wetland,HH17,71,0,0.6,NOCA,a,,1,1,
5/26/2022,2022,7:49,halidon,4,wetland,HH07,74,0,0.6,YTWA,a,1,,1,
5/26/2022,2022,7:49,halidon,4,wetland,HH07,74,0,0.6,YTWA,v,2,,2,
5/26/2022,2022,7:49,halidon,4,wetland,HH07,74,0,0.6,COYE,a,,2,2,
5/26/2022,2022,7:49,halidon,4,wetland,HH07,74,0,0.6,EATO,a,,2,2,
5/26/2022,2022,7:49,halidon,4,wetland,HH07,74,0,0.6,CARW,a,1,,1,
5/26/2022,2022,7:49,halidon,4,wetland,HH07,74,0,0.6,GCFL,a,,1,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,EATO,a,1,1,2,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,CARW,a,1,,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,COYE,a,,1,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,GCFL,a,,1,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,NOCA,a,,1,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,BGGN,a,1,,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,TUTI,a,1,,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,YBCH,a,,1,1,
5/26/2022,2022,8:09,halidon,,wetland,HH05,75,0,0.8,DOWO,a,1,,1,
5/26/2022,2022,8:33,halidon,4,upland,UP04,86,0,1.8,BLGR,v,1,,1,
5/26/2022,2022,8:33,halidon,4,upland,UP04,86,0,1.8,BLGR,a,,1,1,
5/26/2022,2022,8:33,halidon,4,upland,UP04,86,0,1.8,MODO,v,1,,1,
5/26/2022,2022,8:33,halidon,4,upland,UP04,86,0,1.8,EABL,v,,1,1,
5/26/2022,2022,8:33,halidon,4,upland,UP04,86,0,1.8,EAKI,a,,1,1,
5/26/2022,2022,8:33,halidon,4,upland,UP04,86,0,1.8,BASP,a,,1,1,
5/26/2022,2022,8:47,halidon,4,wetland,HH04,79,0,1.9,BGGN,a,1,,1,
5/26/2022,2022,8:47,halidon,4,wetland,HH04,79,0,1.9,COYE,a,,2,2,
5/26/2022,2022,8:47,halidon,4,wetland,HH04,79,0,1.9,NOMO,a,,1,1,
5/26/2022,2022,8:47,halidon,4,wetland,HH04,79,0,1.9,BASP,a,,1,1,
5/26/2022,2022,8:47,halidon,4,wetland,HH04,79,0,1.9,BLGR,v,,2,2,
5/18/2022,2022,8:35,halidon,,wetland,HH43,70,0,0,CARW,a,1,1,2,
5/18/2022,2022,8:35,halidon,,wetland,HH43,70,0,0,BGGN,a,2,,2,
5/18/2022,2022,8:35,halidon,,wetland,HH43,70,0,0,RBWO,a,,1,1,
5/18/2022,2022,8:35,halidon,,wetland,HH43,70,0,0,COYE,a,,1,1,
5/18/2022,2022,8:35,halidon,,wetland,HH43,70,0,0,TUTI,a,,1,1,
5/18/2022,2022,8:35,halidon,,wetland,HH43,70,0,0,WEVI,a,,1,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,EATO,a,,1,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,EAWP,a,1,,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,COYE,a,1,,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,PIWA,a,1,,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,BHNU,a,,1,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,NOMO,a,,1,1,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,INBU,a,,2,2,
5/18/2022,2022,8:54,halidon,,wetland,HH31,76,0,0,YBCH,a,,1,1,
5/18/2022,2022,7:55,halidon,1,upland,UP01,67,0,0,COYE,a,1,,1,
5/18/2022,2022,7:55,halidon,1,upland,UP01,67,0,0,BGGN,a,1,,1,
5/18/2022,2022,7:55,halidon,1,upland,UP01,67,0,0,CARW,a,1,,1,
5/18/2022,2022,7:55,halidon,1,upland,UP01,67,0,0,INBU,a,,1,1,
5/18/2022,2022,7:55,halidon,1,upland,UP01,67,0,0,NOMO,a,,1,1,
5/18/2022,2022,7:55,halidon,1,upland,UP01,67,0,0,EATO,a,,1,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,NOCA,a,1,,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,EAWP,a,,1,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,CARW,a,1,,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,PIWA,a,1,,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,BGGN,a,1,,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,DOWO,a,1,,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,COYE,a,,1,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,AMRO,a,1,,1,
5/18/2022,2022,8:12,halidon,1,wetland,HH33,74,0,0.8,RBWO,a,,1,1,
5/18/2022,2022,6:52,halidon,2,wetland,HH14,64,0,0,NOMO,a,1,,1,
5/18/2022,2022,6:52,halidon,2,wetland,HH14,64,0,0,RHWO,a,1,,1,
5/18/2022,2022,6:52,halidon,2,wetland,HH14,64,0,0,BGGN,a,1,1,2,
5/18/2022,2022,6:52,halidon,2,wetland,HH14,64,0,0,PIWA,a,,1,1,
5/18/2022,2022,6:52,halidon,2,wetland,HH14,64,0,0,BHNU,a,,1,1,
5/18/2022,2022,6:52,halidon,2,wetland,HH14,64,0,0,DOWO,a,1,,1,
5/18/2022,2022,7:03,halidon,2,wetland,UP02,63,0,0,BHNU,v,2,,2,
5/18/2022,2022,7:03,halidon,2,wetland,UP02,63,0,0,BHNU,a,,1,1,
5/18/2022,2022,7:03,halidon,2,wetland,UP02,63,0,0,COYE,a,,1,1,
5/18/2022,2022,7:03,halidon,2,wetland,UP02,63,0,0,PIWA,a,,1,1,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,COYE,a,2,1,3,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,EATO,a,1,1,2,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,BGGN,a,2,,2,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,RBWO,a,,1,1,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,CARW,a,,1,1,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,SUTA,v,2,,2,
5/18/2022,2022,7:30,halidon,1,wetland,HH13,66,0,0,CACH,v,1,,1,
5/18/2022,2022,7:41,halidon,1,wetland,HH34,65,0,0,NOCA,a,1,,1,
5/18/2022,2022,7:41,halidon,1,wetland,HH34,65,0,0,COYE,a,1,2,3,
5/18/2022,2022,7:41,halidon,1,wetland,HH34,65,0,0,NOMO,a,,1,1,
5/18/2022,2022,9:07,halidon,,wetland,HH30,87,0,1.2,COYE,a,2,,2,
5/18/2022,2022,9:07,halidon,,wetland,HH30,87,0,1.2,EATO,a,,1,1,
5/18/2022,2022,9:07,halidon,,wetland,HH30,87,0,1.2,INBU,a,,1,1,
5/18/2022,2022,9:07,halidon,,wetland,HH30,87,0,1.2,EAKI,v,,1,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,EAWP,a,,1,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,PIWA,v,1,,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,PIWA,a,,1,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,NOCA,a,,1,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,NOCA,v,1,,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,COYE,v,2,,2,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,COYE,a,,1,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,GCFL,v,1,,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,BGGN,a,1,,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,SUTA,v,1,,1,
5/19/2022,2022,8:05,halidon,3,wetland,HH48,82,0,1,YTVI,a,,1,1,
5/19/2022,2022,8:19,halidon,3,wetland,HH49,80,0,0.7,BGGN,a,1,,1,
5/19/2022,2022,8:19,halidon,3,wetland,HH49,80,0,0.7,BGGN,v,1,,1,
5/19/2022,2022,8:19,halidon,3,wetland,HH49,80,0,0.7,GCFL,v,1,,1,
5/19/2022,2022,8:19,halidon,3,wetland,HH49,80,0,0.7,NOCA,a,1,,1,
5/19/2022,2022,8:19,halidon,3,wetland,HH49,80,0,0.7,EAKI,a,1,,1,
5/19/2022,2022,8:19,halidon,,wetland,HH49,80,0,0.7,RBWO,a,1,,1,
5/19/2022,2022,8:19,halidon,,wetland,HH49,80,0,0.7,RBWO,v,1,,1,
5/19/2022,2022,8:19,halidon,,wetland,HH49,80,0,0.7,RHWO,v,,1,1,
5/19/2022,2022,7:11,halidon,,wetland,HH34r,77,0,0,BGGN,a,2,,2,
5/19/2022,2022,7:11,halidon,,wetland,HH34r,77,0,0,CACH,a,,1,1,
5/19/2022,2022,7:11,halidon,,wetland,HH34r,77,0,0,PIWA,a,,1,1,
5/19/2022,2022,7:11,halidon,,wetland,HH34r,77,0,0,COYE,a,,1,1,
5/19/2022,2022,7:11,halidon,,wetland,HH34r,77,0,0,INBU,a,1,,1,
5/19/2022,2022,7:32,halidon,,wetland,HH45,78,0,1.4,COYE,a,,2,2,
5/19/2022,2022,7:32,halidon,,wetland,HH45,78,0,1.4,COYE,v,,3,3,
5/19/2022,2022,7:32,halidon,,wetland,HH45,78,0,1.4,NOMO,v,1,,1,
5/19/2022,2022,7:32,halidon,,wetland,HH45,78,0,1.4,BGGN,a,1,,1,
5/19/2022,2022,7:48,halidon,,wetland,HH46,79,0,1,COYE,v,3,,3,
5/19/2022,2022,7:48,halidon,,wetland,HH46,79,0,1,COYE,a,,1,1,
5/19/2022,2022,7:48,halidon,,wetland,HH46,79,0,1,YBCH,a,1,,1,
5/19/2022,2022,8:32,halidon,3,wetland,HH50,79,0,1,DOWO,a,,1,1,
5/19/2022,2022,8:32,halidon,3,wetland,HH50,79,0,1,PIWA,a,,1,1,
5/19/2022,2022,8:32,halidon,3,wetland,HH50,79,0,1,CARW,a,,1,1,
5/19/2022,2022,8:45,halidon,3,upland,UP03,82,0,0.8,SUTA,a,,1,1,
5/19/2022,2022,8:45,halidon,3,upland,UP03,82,0,0.8,KILL,a,,1,1,
5/19/2022,2022,8:45,halidon,3,upland,UP03,82,0,0.8,PIWA,a,,1,1,
5/19/2022,2022,8:45,halidon,3,upland,UP03,82,0,0.8,BASP,a,,1,1,
5/17/2022,2022,8:52,halidon,2,wetland,HH17,79,0,0.7,BHNU,a,3,,3,
5/17/2022,2022,8:52,halidon,2,wetland,HH17,79,0,0.7,INBU,a,1,,1,
5/17/2022,2022,8:52,halidon,2,wetland,HH17,79,0,0.7,INBU,v,1,,1,
5/17/2022,2022,8:52,halidon,2,wetland,HH17,79,0,0.7,EATO,a,,1,1,
5/17/2022,2022,8:52,halidon,2,wetland,HH17,79,0,0.7,BGGN,a,2,,2,
5/17/2022,2022,8:52,halidon,2,wetland,HH17,79,0,0.7,AMRO,a,,1,1,
5/17/2022,2022,9:07,halidon,2,wetland,HH22,79,0,0,EAWP,a,1,,1,
5/17/2022,2022,9:07,halidon,2,wetland,HH22,79,0,0,RBWO,a,,1,1,
5/17/2022,2022,9:07,halidon,2,wetland,HH22,79,0,0,EATO,a,1,2,3,
5/17/2022,2022,9:07,halidon,2,wetland,HH22,79,0,0,CARW,a,,1,1,
5/17/2022,2022,9:07,halidon,2,wetland,HH22,79,0,0,SUTA,a,,1,1,
5/17/2022,2022,9:07,halidon,2,wetland,HH22,79,0,0,BGGN,a,1,,1,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,NOPA,a,,1,1,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,TUTI,a,2,1,3,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,NOCA,a,,1,1,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,EATO,a,,1,1,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,COYE,v,1,,1,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,CARW,v,1,,1,
5/17/2021,2022,8:15,halidon,,wetland,HH05,74,0,0,WEVI,a,1,,1,
5/17/2022,2022,8:32,halidon,4,wetland,HH07,73,0,1.5,CARW,a,,1,1,
5/17/2022,2022,8:32,halidon,4,wetland,HH07,73,0,1.5,COYE,a,,2,2,
5/17/2022,2022,8:32,halidon,4,wetland,HH07,73,0,1.5,GCFL,a,,1,1,
5/17/2022,2022,8:32,halidon,4,wetland,HH07,73,0,1.5,EATO,a,,1,1,
5/17/2022,2022,8:32,halidon,4,wetland,HH07,73,0,1.5,CACH,v,,1,1,
5/17/2022,2022,8:32,halidon,4,wetland,HH07,73,0,1.5,BGGN,a,1,,1,
5/17/2022,2022,7:29,halidon,4,wetland,HH04,74,0,0,GCFL,a,1,,1,
5/17/2022,2022,7:29,halidon,4,wetland,HH04,74,0,0,BGGN,v,1,,1,
5/17/2022,2022,7:29,halidon,4,wetland,HH04,74,0,0,BGGN,a,,1,1,
5/17/2022,2022,7:29,halidon,4,wetland,HH04,74,0,0,WBNU,v,2,,2,
5/17/2022,2022,7:29,halidon,4,wetland,HH04,74,0,0,SUTA,a,1,,1,
5/17/2022,2022,7:50,halidon,4,upland,UP04,75,0,1.4,COYE,a,,2,2,
5/17/2022,2022,7:50,halidon,4,upland,UP04,75,0,1.4,OROR,v,1,,1,
5/17/2022,2022,7:50,halidon,4,upland,UP04,75,0,1.4,OROR,a,,1,1,
5/17/2022,2022,7:50,halidon,4,upland,UP04,75,0,1.4,TUTI,a,1,,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,RBWO,a,1,,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,TUTI,a,2,,2,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,TUTI,v,1,,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,EATO,a,,1,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,NOCA,a,,1,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,YBCU,a,1,,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,BGGN,a,1,,1,
5/17/2022,2022,6:56,halidon,4,wetland,HH02,73,0,0,CARW,a,,1,1,
5/17/2022,2022,7:14,halidon,,wetland,HH01,71,0,0,NOMO,a,,1,1,
5/17/2022,2022,7:14,halidon,,wetland,HH01,71,0,0,COYE,a,1,,1,
5/17/2022,2022,7:14,halidon,,wetland,HH01,71,0,0,CHSP,a,,2,2,
5/30/2022,2022,8:48,halidon,1,wetland,HH33,81,0,0,BGGN,v,2,,2,
5/30/2022,2022,8:48,halidon,1,wetland,HH33,81,0,0,NOCA,a,1,1,2,
5/30/2022,2022,8:48,halidon,1,wetland,HH33,81,0,0,NOCA,v,1,,1,
5/30/2022,2022,8:48,halidon,1,wetland,HH33,81,0,0,COYE,a,1,1,2,
5/30/2022,2022,8:48,halidon,1,wetland,HH33,81,0,0,CARW,v,1,,1,
5/30/2022,2022,8:48,halidon,1,wetland,HH33,81,0,0,YBCH,v,2,,2,
5/31/2022,2022,7:01,halidon,3,upland,UP03,69.2,0,0,BASP,a,1,1,2,
5/31/2022,2022,7:01,halidon,3,upland,UP03,69.2,0,0,BLGR,a,,1,1,
5/31/2022,2022,9:07,halidon,,wetland,HH30,81.4,0,1.1,COYE,a,2,,2,
5/31/2022,2022,9:07,halidon,,wetland,HH30,81.4,0,1.1,YBCH,a,1,,1,
5/31/2022,2022,9:07,halidon,,wetland,HH30,81.4,0,1.1,BHCO,a,,1,1,
5/31/2022,2022,7:19,halidon,,wetland,HH50,71.3,0,0,NOCA,a,1,,1,
5/31/2022,2022,7:19,halidon,,wetland,HH50,71.3,0,0,NOCA,v,1,,1,
5/31/2022,2022,7:19,halidon,3,wetland,HH50,71.3,0,0,BGGN,a,2,,2,
5/31/2022,2022,7:19,halidon,3,wetland,HH50,71.3,0,0,YTWA,a,,1,1,
5/31/2022,2022,7:19,halidon,3,wetland,HH50,71.3,0,0,CARW,v,2,,2,
5/31/2022,2022,7:19,halidon,3,wetland,HH50,71.3,0,0,BHNU,v,2,,2,
5/31/2022,2022,7:19,halidon,3,wetland,HH50,71.3,0,0,DOWO,a,1,,1,
5/31/2022,2022,7:19,halidon,3,wetland,HH50,71.3,0,0,SUTA,a,1,,1,
5/31/2022,2022,7:36,halidon,3,wetland,HH49,74.6,0,0,CACH,a,3,,3,
5/31/2022,2022,7:36,halidon,3,wetland,HH49,74.6,0,0,RHWO,v,2,,2,
5/31/2022,2022,7:36,halidon,3,wetland,HH49,74.6,0,0,YTWA,a,1,,1,
5/31/2022,2022,7:36,halidon,3,wetland,HH49,74.6,0,0,RBWO,a,,1,1,
5/31/2022,2022,7:36,halidon,3,wetland,HH49,74.6,0,0,EATO,a,,1,1,
5/31/2022,2022,7:36,halidon,3,wetland,HH49,74.6,0,0,OROR,v,1,,1,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,COYE,v,2,,2,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,COYE,a,,1,1,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,NOCA,v,1,,1,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,PIWA,a,,1,1,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,CACH,a,,1,1,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,RBWO,a,,1,1,
5/31/2022,2022,7:53,halidon,3,wetland,HH48,75.9,0,0,GCFL,a,1,,1,
5/31/2022,2022,8:11,halidon,,wetland,HH46,75.5,0,0,RHWO,v,1,,1,
5/31/2022,2022,8:11,halidon,,wetland,HH46,75.5,0,0,RBWO,v,2,,2,
5/31/2022,2022,8:11,halidon,,wetland,HH46,75.5,0,0,BGGN,a,1,,1,
5/31/2022,2022,8:11,halidon,,wetland,HH46,75.5,0,0,GCFL,a,,1,1,
5/31/2022,2022,8:11,halidon,,wetland,HH46,75.5,0,0,COYE,a,,1,1,
5/31/2022,2022,8:26,halidon,,wetland,HH45,86,0,0.7,COYE,a,,2,2,
5/31/2022,2022,8:26,halidon,,wetland,HH45,86,0,0.7,YBCH,a,,1,1,
