wetland_id,x,y,utm_easting,utm_northing
HH01,,,607965.57,3659518.36
HH02, -79.84430,33.07036,607877.89,3659680.84
HH04, -79.83794,33.07074,608471.13,3659729.52
HH05,,,609133.89,3659495.04
HH07, -79.82600,33.06558,609592.11,3659169.83
HH13, -79.82648,33.05477,609560.69,3657970.81
HH14, -79.82349,33.05865,609835.04,3658404.12
HH17, -79.82006,33.05909,610154.72,3658456.49
HH22, -79.81738,33.05792,610406.39,3658329.59
HH30,,,610136.13,3657360.08
HH31,,,610070.71,3657447.72
HH33, -79.82439,33.05184,609759.47,3657648.15
HH34, -79.82494,33.05350,609706.05,3657831.62
HH34r,,,609561.09,3657847.31
HH43,,,610118.93,3657112.39
HH45,,,609629.64,3656998.69
HH46,,,609537.88,3656869.59
HH48, -79.83248,33.04526,609012.22,3656910.19
HH49, -79.83278,33.04602,608983.27,3656994.14
HH50, -79.83211,33.04877,609042.44,3657299.73
SP01, -80.18212,32.74174,576625.84,3622952.62
SP02, -80.18935,32.73731,575952.22,3622456.3
SP03, -80.18555,32.73505,576310.19,3622208.49
SP05, -80.18059,32.74548,576765.98,3623368.34
SP07, -80.17966,32.74279,576855.42,3623070.8
SP08,-80.18795833,32.73471944,576084.84,3622170.06
SP09, -80.18414,32.74251,576435.93,3623036.52
SP11,,,577500.43,3623033.07
SP12,,,576230.31,3623161.46
SP13,,,576437.45,3623174.81
SP16,,,576206.61,3623485.5
UP01, -79.82561,33.05301,609644.10,3657776.59
UP02, -79.82232,33.05963,609943.05,3658513.99
UP03, -79.83228,33.04944,609025.74,3657373.84
UP04, -79.83687,33.06985,608572.10,3659631.95
UP05, -80.18983,32.73628,575908.12,3622341.77
UP06, -80.18103,32.74284,576727.02,3623075.35